PitcherID,Pitcher,GS,IP,K,BB,GS2,GSD,GSQ
676979,Garrett Crochet,17,93.4,130,20,44.76470588235294,15.380707931385611,2.9104450901773413
607200,Erick Fedde,17,98.7,91,25,39.35294117647059,14.093177323046195,2.792339887196181
669203,Corbin Burnes,17,105.5,99,24,43.11764705882353,7.833281184640766,5.504417120039959
622491,Luis Castillo,17,98.5,100,30,36.94117647058823,15.163568957518274,2.436179541510402
641482,Nestor Cortes,17,99.5,93,18,38.94117647058823,14.783735100758934,2.634055345633808
666142,Cole Ragans,17,96.6,120,33,43.11764705882353,14.666638814590309,2.939845154973768
571945,Miles Mikolas,17,92.1,68,18,32.411764705882355,16.915447169412236,1.9161045156696601
607625,Seth Lugo,17,107.9,95,26,43.529411764705884,13.52367205615224,3.2187568275809615
669923,George Kirby,17,98.4,96,9,41.588235294117645,18.114423892058404,2.2958629842128437
554430,Zack Wheeler,17,104.5,112,31,43.705882352941174,19.92098361615947,2.193962065080356
663855,Jordan Hicks,17,84.5,76,33,37.88235294117647,11.575201687990022,3.2727164469610686
607074,Carlos Rod\xc3\xb3n,17,92.5,92,26,34.1764705882353,18.842224172445935,1.8138235844902806
656302,Dylan Cease,17,95.3,125,30,41.470588235294116,18.221270698893445,2.2759438087823685
657277,Logan Webb,17,104.4,91,23,40.588235294117645,13.04827011297576,3.110621940126374
676710,Kutter Crawford,17,91.9,97,30,38.470588235294116,11.22562719327312,3.427032411903662
621244,Jos\xc3\xa9 Berr\xc3\xados,17,102.6,76,26,36.23529411764706,14.724679163587512,2.4608545772089143
607192,Tyler Glasnow,16,100.0,135,25,46.1875,15.109461715538824,3.056859395096782
661563,Luis Gil,16,83.1,99,45,41.875,18.26061335223984,2.293186936947199
671106,Logan Allen,16,75.4,64,31,27.8125,17.317500781964277,1.6060342857882812
669432,Trevor Rogers,16,79.0,64,36,31.3125,15.413062641798351,2.0315560072457184
676440,Tanner Bibee,16,85.7,106,22,40.375,15.26160760426852,2.645527328897351
605400,Aaron Nola,16,98.89999999999999,90,25,39.3125,18.470584722742267,2.1283841627166096
615698,Cal Quantrill,16,89.3,64,34,36.3125,15.602216722846363,2.3273936418808696
669373,Tarik Skubal,16,95.6,112,19,45.9375,14.29903842920915,3.212628613275271
669302,Logan Gilbert,16,103.3,99,21,44.4375,17.060553918322814,2.604692685404235
676664,JP Sears,16,81.2,56,28,31.75,20.111356659028914,1.5787100064055581
671096,Andrew Abbott,16,88.5,72,32,35.3125,10.248373854747234,3.445668600745142
669022,MacKenzie Gore,16,83.6,99,28,38.1875,13.10073153173771,2.9149135609326335
605135,Chris Bassitt,16,89.0,83,35,37.0625,15.433594310248447,2.4014172755201426
657746,Joe Ryan,16,97.3,100,15,40.3125,13.622132725825278,2.9593383658327057
663372,Ryan Feltner,16,84.8,75,23,30.0625,17.249033789365324,1.7428512441395214
656605,Mitch Keller,16,96.7,91,27,39.6875,11.751418354110845,3.3772519030536126
656557,Tanner Houck,16,101.0,101,18,48.0625,12.336767539892016,3.895874656354325
656288,Griffin Canning,16,85.8,59,30,31.5,11.72461797529739,2.686654700935023
663623,Jake Irvin,16,91.3,81,20,40.4375,12.889110390816997,3.1373383246690314
650644,Aaron Civale,16,78.3,82,23,32.3125,10.27436129401726,3.1449643510994214
650633,Michael King,16,88.0,104,35,38.0625,18.156610366475345,2.096343933792797
663776,Patrick Sandoval,16,77.1,81,35,33.8125,16.68220109378056,2.026860832687477
642547,Freddy Peralta,16,84.9,112,31,39.125,14.68275632615802,2.6646904117244645
663903,Brady Singer,16,87.7,85,26,38.9375,12.984445823112104,2.998780273755841
641793,Zack Littell,16,84.7,82,16,34.8125,13.457185193543758,2.586907997424432
665871,Javier Assad,16,79.5,79,33,38.4375,12.049723371651869,3.1899072546700875
641154,Pablo L\xc3\xb3pez,16,86.6,101,19,34.5625,18.945426009110133,1.8243189666666884
668881,Hunter Greene,16,90.8,103,39,39.6875,13.670985090085255,2.903046103735638
624133,Ranger Su\xc3\xa1rez,16,97.4,99,19,47.5,9.359487165438072,5.075064387651923
663362,Matt Waldron,16,87.7,84,27,39.9375,14.68545198487265,2.7195281453467866
694297,Brandon Pfaadt,16,95.6,86,24,35.25,13.32916601542147,2.644576559344879
542881,Tyler Anderson,16,97.7,65,46,37.9375,10.804127297781468,3.5113895786650096
682243,Bryce Miller,16,91.4,85,27,37.8125,18.69124126429275,2.023006362463257
458681,Lance Lynn,16,79.8,78,30,36.0625,12.787852308603922,2.8200591569028703
573186,Marcus Stroman,16,88.3,67,40,36.375,14.42162727757632,2.522253508559204
571578,Patrick Corbin,16,86.9,60,32,28.625,15.966109941581472,1.7928600081507795
579328,Yusei Kikuchi,16,82.4,86,20,35.8125,15.553000782271354,2.3026103130414652
592332,Kevin Gausman,16,84.1,84,20,35.0625,18.530942591604273,1.8921055864630223
640455,Sean Manaea,15,74.0,76,34,38.06666666666667,13.951275756650185,2.7285437784083184
608331,Max Fried,15,88.6,80,27,41.93333333333333,19.07678719081936,2.1981339370139645
656427,Jack Flaherty,15,86.2,115,14,42.2,15.269951819551645,2.763597455885036
663559,Bailey Falter,15,82.4,54,22,35.333333333333336,15.197117521174235,2.325002309425007
500779,Jose Quintana,15,76.1,58,26,33.0,15.19398377178095,2.1719122842087866
502043,Kyle Gibson,15,87.2,77,36,37.0,12.806248474865699,2.889214594939212
596295,Austin Gomber,15,79.8,56,24,31.866666666666667,15.574093262607008,2.046133031909967
519242,Chris Sale,15,93.2,118,17,46.4,15.747108578130417,2.9465726847429194
681857,Reese Olson,15,81.0,72,23,40.2,18.18633710077038,2.2104506134056603
623167,Chris Flexen,15,70.1,56,31,30.333333333333332,15.499615970665054,1.9570377350473023
571760,Andrew Heaney,15,72.3,74,21,35.13333333333333,12.743999521717026,2.7568530015606707
650911,Cristopher S\xc3\xa1nchez,15,83.4,70,24,41.666666666666664,11.6476034731041,3.57727379395089
622663,Luis Severino,15,89.4,71,31,39.06666666666667,14.79124580219504,2.6412019101777844
641712,Dakota Hudson,15,73.4,41,38,28.8,17.538529014715003,1.6420989454609625
663554,Casey Mize,15,71.7,56,19,33.4,12.28122841692033,2.7195976547414027
683003,Jared Jones,15,84.6,93,25,38.93333333333333,14.964083985456963,2.6017852727351163
684007,Shota Imanaga,15,83.6,84,14,40.06666666666667,21.991773353645115,1.8218933972428222
663474,Triston McKenzie,15,71.0,71,46,30.266666666666666,14.399735447305307,2.1018904671842855
641927,Bailey Ober,15,80.6,83,20,35.8,21.824625671802156,1.6403488673005877
663978,Chris Paddack,15,76.0,70,18,30.933333333333334,19.440262588859476,1.59119935710437
686613,Hunter Brown,15,74.4,82,32,34.46666666666667,20.00309499861983,1.7230666888821353
694813,Gavin Stone,15,87.6,70,25,41.333333333333336,12.396235987858036,3.334345471788278
543243,Sonny Gray,14,81.7,103,22,45.5,14.173376992961677,3.2102441092616627
690986,Kyle Harrison,14,77.1,68,22,35.5,12.469963913339926,2.8468406361644205
625643,Reynaldo L\xc3\xb3pez,14,78.4,81,27,45.214285714285715,8.514047861564498,5.310551038642783
679525,Alec Marsh,14,73.8,69,23,36.285714285714285,15.3142898146624,2.3694023506707547
681293,Spencer Arrighetti,14,62.9,75,35,32.214285714285715,19.819099457258478,1.625416219528969
669854,Ronel Blanco,14,82.8,79,34,43.357142857142854,12.282615249312231,3.5299601898358457
808967,Yoshinobu Yamamoto,14,73.3,84,17,42.857142857142854,11.380530897830889,3.7658298406194177
593423,Frankie Montas,14,64.7,53,27,34.785714285714285,15.680357979766482,2.218426028959342
678394,Brayan Bello,14,69.0,64,29,30.642857142857142,14.291509813426035,2.1441301543990807
471911,Carlos Carrasco,14,68.6,54,23,31.571428571428573,13.20089907028064,2.3916119957697237
592351,Jon Gray,14,70.7,61,19,36.42857142857143,20.816835958921793,1.7499571741092899
450203,Charlie Morton,14,77.0,80,35,37.42857142857143,15.584579586216655,2.401641393116185
572020,James Paxton,14,69.8,49,36,36.642857142857146,14.468039805867823,2.532675997200108
680570,Grayson Rodriguez,14,80.0,89,25,38.0,13.341664064126332,2.848220418184274
608379,Michael Wacha,14,76.7,67,23,37.214285714285715,12.885164823449971,2.88814976169794
621107,Zach Eflin,14,79.0,63,6,35.5,12.482295153844598,2.844028246605421
686752,Ryan Pepiot,14,69.8,83,25,38.0,16.34248827678708,2.3252273066626774
608344,Cole Irvin,13,68.4,52,15,36.0,14.747881203752625,2.4410286130349177
668933,Graham Ashcraft,13,65.1,52,22,29.615384615384617,12.339222433217184,2.400101365841336
680573,Simeon Woods Richardson,13,63.9,56,19,39.23076923076923,13.947244925993129,2.812797039052196
607067,Colin Rea,13,70.7,50,21,33.92307692307692,13.530592118489238,2.5071391278377115
680730,Mitchell Parker,13,71.8,58,17,39.61538461538461,9.069531975598865,4.3679634982232685
543135,Nathan Eovaldi,13,71.6,74,26,38.84615384615385,14.276123153983097,2.7210576307837195
664285,Framber Valdez,13,79.5,63,26,37.76923076923077,19.732181186046674,1.9140930449158216
656756,Jordan Montgomery,13,64.5,45,23,27.23076923076923,17.763041435115806,1.5330015037254063
669194,Ryne Nelson,13,60.9,41,15,28.615384615384617,13.382441615405748,2.138278308081153
677960,Ryan Weathers,13,70.3,67,20,38.92307692307692,12.6125700424982,3.0860543721006235
594902,Ben Lively,13,69.0,61,21,38.38461538461539,10.316156111802346,3.720825370285054
547179,Michael Lorenzen,13,76.3,55,31,37.46153846153846,12.705742695171244,2.9483942308839244
628317,Kenta Maeda,12,51.9,41,18,29.833333333333332,20.148689708507025,1.4806587309117838
641540,Dane Dunning,12,56.2,67,29,34.75,11.474279537691718,3.028512586419928
666200,Jes\xc3\xbas Luzardo,12,64.8,58,22,34.0,20.275376916124372,1.6769108727621662
667755,Jos\xc3\xa9 Soriano,12,64.7,57,25,40.25,9.640115050237636,4.175261372944694
676775,Keaton Winn,12,53.7,48,20,29.833333333333332,14.018386195106467,2.1281574724876346
666157,Nick Lodolo,12,68.6,73,19,41.833333333333336,11.464041278024188,3.649091303738157
592791,Jameson Taillon,12,66.7,53,16,37.666666666666664,13.033755708880992,2.889931920467191
672282,Reid Detmers,12,61.6,70,27,30.333333333333332,17.951112061441325,1.6897746072505893
527048,Mart\xc3\xadn P\xc3\xa9rez,11,55.7,46,19,30.454545454545453,19.881466929598712,1.531805754695393
657006,Justin Steele,11,62.0,65,16,40.90909090909091,16.849062558222908,2.427974302292913
601713,Nick Pivetta,11,56.5,64,15,35.54545454545455,18.581515742068174,1.9129469866110203
592866,Trevor Williams,11,55.5,47,16,43.54545454545455,7.202272368685267,6.046071616894921
657376,Clarke Schmidt,11,58.8,67,20,42.0,10.207840124139876,4.114484503012234
548389,Ross Stripling,11,53.8,35,12,29.454545454545453,14.355233445427745,2.0518332611251933
681867,Cooper Criswell,11,48.5,49,12,37.54545454545455,11.07577208472291,3.389872440336862
668678,Zac Gallen,11,57.2,60,15,40.54545454545455,12.283025981928365,3.3009337117016457
506433,Yu Darvish,11,55.4,53,15,40.72727272727273,18.788778082094158,2.167638180052066
681190,Randy V\xc3\xa1squez,10,45.8,31,12,27.4,13.793718377097115,1.9864114411306637
668964,Tobias Myers,10,50.3,43,16,37.7,14.81028171387852,2.5455288919097216
677944,Slade Cecconi,10,46.7,39,8,32.9,18.53195438515143,1.7753119458550386
434378,Justin Verlander,10,56.3,51,17,34.3,19.299107636249804,1.777284247877544
592836,Taijuan Walker,10,50.9,43,21,27.3,12.614365708279676,2.164199186177164
605397,Joe Musgrove,10,47.7,44,15,29.5,17.564168070250297,1.6795557798132372
671737,Taj Bradley,9,49.2,61,18,36.77777777777778,24.50396793265214,1.5008907079400182
665152,Dean Kremer,9,48.6,49,18,35.0,18.26882590644511,1.9158319302639069
544150,Albert Su\xc3\xa1rez,9,41.7,37,19,38.22222222222222,15.006480081766158,2.547047809610242
543294,Kyle Hendricks,9,41.7,37,13,23.555555555555557,19.799691355619103,1.1896930680624245
605452,Joe Ross,9,40.6,35,16,35.333333333333336,11.191514642799696,3.1571538313686434
647336,Michael Soroka,9,41.8,24,24,25.666666666666668,8.170067319184096,3.141548981658804
683155,Joey Estes,9,44.7,39,12,33.888888888888886,21.51420719225115,1.5751865075044351
622072,Alex Wood,9,38.4,33,19,29.444444444444443,11.727223788168185,2.510777058262629
621389,Ty Blach,9,45.4,24,9,25.88888888888889,14.35657031157202,1.8032781038254881
669060,Bryse Wilson,9,39.8,31,21,32.111111111111114,15.987842603400596,2.008470555263105
676106,Emerson Hancock,8,40.4,24,13,30.875,17.08330429730401,1.8073201450185792
621112,Paul Blackburn,8,45.3,36,13,36.125,19.518763866012183,1.8507831872951792
621111,Walker Buehler,8,36.3,31,10,27.25,15.406399412489048,1.76874552388341
676962,Ben Brown,8,37.6,43,14,42.625,15.564956059779197,2.738523631952012
687765,Mitch Spence,8,41.6,34,9,34.5,13.027443560203427,2.64825557221307
694973,Paul Skenes,8,46.1,61,8,45.5,13.071233409940428,3.4809262885167445
680694,Kyle Bradish,8,38.4,53,15,45.125,15.207493453651628,2.967287156001673
693433,Bryan Woo,8,40.2,28,3,47.0,12.118462891684855,3.878379660860231
671212,Joe Boyle,7,27.2,29,23,30.428571428571427,17.057326313123664,1.7839004114707073
674072,Tommy Henry,7,31.3,26,13,27.0,11.86029791643813,2.276502680643338
669062,Erik Miller,7,7.2,8,5,40.142857142857146,2.478478796128211,16.196570737489
676130,Jos\xc3\xa9 Butt\xc3\xb3,7,37.3,38,21,41.285714285714285,13.174650984805197,3.133723567579179
682610,Roddery Mu\xc3\xb1oz,7,35.2,34,18,24.142857142857142,25.425896060437882,0.9495381042016797
605288,Adrian Houser,7,33.2,20,21,23.571428571428573,13.998299216418435,1.6838780345387911
656731,Tylor Megill,7,33.2,43,16,37.57142857142857,15.522640914238174,2.4204276050067035
664350,Sixto S\xc3\xa1nchez,7,27.4,14,11,31.428571428571427,7.3452284479368615,4.278773853167103
664299,Cristian Javier,7,34.2,27,19,34.57142857142857,24.040640194312232,1.4380410959109073
605513,Spencer Turnbull,7,35.1,38,12,45.42857142857143,13.488972568449421,3.3678303664749403
666129,Braxton Garrett,7,35.6,34,4,34.42857142857143,15.977662979475888,2.154793944070335
696136,Jordan Wicks,6,23.5,30,9,37.166666666666664,6.013872850889573,6.180155049531678
693821,Bryce Elder,6,28.5,23,11,28.166666666666668,24.21087909735346,1.1633888448827794
680897,Nick Nastrini,6,24.2,19,25,21.333333333333332,16.107969042268074,1.324396221358115
686563,Jonathan Cannon,6,29.4,25,6,31.5,21.482551058940835,1.4663063019645424
684320,Yariel Rodr\xc3\xadguez,6,16.5,17,12,33.333333333333336,7.916228058025278,4.210759605332595
570632,Jos\xc3\xa9 Ure\xc3\xb1a,6,30.5,21,8,37.5,11.449890829173874,3.275140397360948
682990,Quinn Priester,6,30.5,20,10,27.5,15.782902141241324,1.7423918461828038
571927,Steven Matz,6,26.5,17,11,27.833333333333332,15.393721663933862,1.808096439637751
641302,Tyler Alexander,6,31.299999999999997,25,8,31.0,17.274258305351346,1.7945777730090209
605483,Blake Snell,6,22.5,31,14,25.333333333333332,9.892758294159757,2.560795743719828
687792,DJ Herz,5,20.4,27,7,31.4,22.76620302114518,1.3792374587381029
607259,Nick Martinez,5,25.2,17,4,25.6,7.436396977031283,3.442527352839075
688107,Robert Gasser,5,28.0,16,1,41.2,17.049926686059386,2.4164326779004015
657649,Jared Koenig,5,3.6,6,1,42.6,2.302172886644268,18.504257541706753
676272,Bobby Miller,5,19.3,21,12,29.2,19.43450539633052,1.5024822811036564
689017,Landon Knack,5,25.2,18,8,42.4,6.066300355241241,6.989433017995341
542888,Shawn Armstrong,5,8.0,12,2,41.4,6.107372593840988,6.778692369571499
800049,Adam Mazur,5,21.4,11,17,25.2,16.828547174370104,1.4974554689058142
669467,Andre Pallante,5,22.2,20,10,34.0,19.710403344427025,1.7249773840682594
680885,Spencer Schwellenbach,5,26.2,25,7,35.6,13.069047402163633,2.723993486633638
681035,Christian Scott,5,27.2,25,6,39.0,11.726039399558575,3.3259311751475225
607536,Kyle Freeland,5,21.2,13,9,21.0,28.74021572639983,0.730683450671182
686973,Louie Varland,5,21.2,21,10,24.8,17.123083834403193,1.448337241109138
669461,Matthew Liberatore,5,18.5,18,5,34.6,18.51485889765299,1.8687693053056982
656849,David Peterson,5,26.3,20,13,34.0,7.314369419163897,4.64838430376771
663687,Hogan Harris,5,27.2,20,10,37.4,8.018728078691781,4.66408133970564
666201,Alek Manoah,5,23.4,26,8,38.2,22.99347733597509,1.6613407116214267
666159,Matt Manning,5,25.8,23,12,32.2,13.046072205840346,2.4681758227265522
641585,J.P. France,5,24.4,22,12,24.2,15.642889758609181,1.5470287378763472
665795,Edward Cabrera,5,21.1,31,14,31.4,13.221195104830729,2.3749744067030023
665622,Luis Medina,5,22.6,17,12,31.8,17.412639087743134,1.8262596404691016
669713,Hayden Wesneski,4,20.1,21,5,41.0,10.519822558706334,3.897404140725539
676477,Garrett Whitlock,4,18.1,17,7,42.75,7.544313531837517,5.666519534162
605182,Mike Clevinger,4,14.600000000000001,15,9,26.0,13.711309200802088,1.8962448894726294
605156,Aaron Brooks,4,21.2,10,6,24.25,12.971121771072847,1.8695376103923718
669084,DL Hall,4,15.4,13,10,20.25,12.632629707758133,1.6029916548225724
700249,Cade Povich,4,20.5,14,10,35.5,16.380883167074153,2.167160319619127
547001,Cody Poteet,4,20.3,13,7,41.25,3.685557397915997,11.19233688324183
518876,Merrill Kelly,4,24.2,21,6,43.5,7.14142842854285,6.091218365521843
607644,John Means,4,20.2,16,2,43.25,14.72809107341025,2.9365652197848324
